sale_id,restaurant_id,creditcard_tip,drinks_payment,food_payment,other_payment,service_charges,delivery_charges,date
1,1,8.23,1437.8,2603.91,817.75,94.04,297.92,2024-01-01
2,1,4.97,1525.16,3057.18,765.01,126.69,281.39,2024-01-02
3,1,2.75,1492.4,2932.54,719.0,140.21,233.99,2024-01-03
4,1,5.41,1265.68,2963.7,753.14,177.3,143.67,2024-01-04
5,1,4.67,1335.66,3318.47,870.51,163.37,225.74,2024-01-05
6,1,6.53,1356.79,2447.66,814.08,130.34,201.2,2024-01-06
7,1,1.51,1506.14,3073.89,662.87,167.07,190.2,2024-01-07
8,1,4.95,1671.44,2515.91,672.07,171.95,142.07,2024-01-08
9,1,0.02,1286.82,3338.98,846.18,114.57,318.07,2024-01-09
10,1,2.22,1887.1399999999999,3134.87,834.29,191.91,201.82,2024-01-10
11,1,5.14,1574.69,2738.04,666.59,143.05,211.81,2024-01-11
12,1,2.51,1391.73,3187.01,606.49,105.53,307.47,2024-01-12
13,1,6.64,1488.21,2974.54,860.13,183.37,165.52,2024-01-13
14,1,1.82,1546.34,2658.7,863.54,190.31,126.28,2024-01-14
15,1,0.89,1460.69,3102.27,827.78,108.52,322.04,2024-01-15
16,1,5.74,1510.27,2629.69,690.93,121.68,239.73,2024-01-16
17,1,4.54,1245.6,3056.14,757.9399999999999,138.54,228.84,2024-01-17
18,1,5.39,1164.63,3595.73,793.56,161.85,231.7,2024-01-18
19,1,1.95,1567.26,2998.5099999999998,759.06,203.45,125.58,2024-01-19
20,1,2.91,1514.71,2988.29,666.39,164.09,188.74,2024-01-20
21,1,4.62,1603.11,3166.52,865.33,193.35999999999999,176.78,2024-01-21
22,1,4.17,1471.46,2186.52,859.28,120.94,209.81,2024-01-22
23,1,1.55,1723.42,2981.2400000000002,839.49,138.75,276.89,2024-01-23
24,1,3.15,1578.56,3138.78,843.48,164.83,226.45,2024-01-24
25,1,9.9,1492.08,2919.54,735.97,138.85,237.06,2024-01-25
26,1,5.69,1574.68,3022.53,818.52,174.31,192.98,2024-01-26
27,1,3.82,1449.01,3051.87,843.62,160.97,212.47,2024-01-27
28,1,3.94,1574.53,2836.4,767.27,183.73,150.37,2024-01-28
29,1,5.86,1593.68,2593.77,816.8199999999999,194.64,111.17999999999999,2024-01-29
30,1,5.88,1366.74,2845.23,844.17,119.58,266.44,2024-01-30
31,1,1.63,1547.75,2564.88,744.53,144.82,196.12,2024-01-31
32,1,8.58,1464.16,2820.99,851.62,158.2,197.34,2024-02-01
33,1,6.69,1440.67,3264.21,840.15,124.56,305.4,2024-02-02
34,1,4.7,1537.96,3165.12,751.29,133.34,278.75,2024-02-03
35,1,4.02,1592.82,3141.8,741.76,192.34,162.96,2024-02-04
36,1,6.96,1431.31,2698.75,720.01,140.26,204.52,2024-02-05
37,1,8.16,1162.79,2622.18,736.87,117.63,216.95,2024-02-06
38,1,0.97,1650.1299999999999,2845.66,789.43,115.82,296.85,2024-02-07
39,1,4.3,1607.39,2522.11,774.62,139.28,211.82,2024-02-08
40,1,2.78,1464.17,2804.87,679.36,178.29,138.26,2024-02-09
41,1,2.02,1254.97,2788.9,585.08,156.24,150.45,2024-02-10
42,1,5.76,1496.0,3187.73,694.39,127.04,283.77,2024-02-11
43,1,6.19,1563.29,2961.27,730.33,111.39,302.7,2024-02-12
44,1,2.82,1631.99,2840.16,634.77,155.67,199.35999999999999,2024-02-13
45,1,7.62,1483.27,3054.89,749.6,113.78,301.23,2024-02-14
46,1,5.01,1480.6299999999999,2375.32,710.67,147.19,162.26,2024-02-15
47,1,0.33,1554.79,3307.21,734.12,162.21,235.17,2024-02-16
48,1,5.89,1534.6,2661.1,716.92,178.43,134.45000000000002,2024-02-17
49,1,1.84,1510.56,3024.2599999999998,664.5,134.10999999999999,251.75,2024-02-18
50,1,6.02,1557.35,3027.5099999999998,724.67,162.98,205.02,2024-02-19
51,1,8.02,1549.4,3550.32,828.3100000000001,148.67,295.46,2024-02-20
52,1,8.74,1513.71,3084.74,927.87,135.97,280.69,2024-02-21
53,1,2.47,1160.3799999999999,2606.7,780.3199999999999,143.51,167.69,2024-02-22
54,1,3.14,1708.97,2836.45,716.46,106.53,313.1,2024-02-23
55,1,9.15,1449.23,3127.74,798.81,154.76,228.07999999999998,2024-02-24
56,1,8.4,1665.08,2765.59,755.14,170.72,177.11,2024-02-25
57,1,1.83,1552.5,2824.22,647.51,140.85,220.73,2024-02-26
58,1,3.76,1287.92,2902.39,753.58,158.03,178.29,2024-02-27
59,1,3.1,1302.38,2977.35,666.98,97.79,299.11,2024-02-28
60,1,8.6,1273.19,3451.12,829.82,188.53,178.33,2024-02-29
61,1,0.11,1601.06,3291.08,754.06,164.47,235.67000000000002,2024-03-01
62,1,0.99,1506.95,3225.23,899.48,175.95,211.28,2024-03-02
63,1,3.21,1338.21,2985.38,835.22,170.51,174.85,2024-03-03
64,1,8.77,1626.3,3260.96,738.72,157.93,246.74,2024-03-04
65,1,3.67,1481.2,2747.91,731.98,161.31,173.5,2024-03-05
66,1,8.94,1498.46,2579.85,709.72,175.87,127.05,2024-03-06
67,1,6.21,1371.02,3282.46,727.03,163.08,211.88,2024-03-07
68,1,3.59,1380.0,2853.88,778.58,170.75,159.71,2024-03-08
69,1,0.01,1482.16,2946.91,784.99,137.17,247.05,2024-03-09
70,1,7.84,1954.62,3086.4900000000002,700.44,194.60999999999999,184.94,2024-03-10
71,1,8.68,1490.21,3575.39,711.05,151.1,275.43,2024-03-11
72,1,3.53,1456.8,2502.05,721.24,179.39000000000001,109.22,2024-03-12
73,1,8.43,1543.1,2663.79,763.51,143.99,209.08,2024-03-13
74,1,4.59,1190.0,2841.7,685.13,192.5,86.67,2024-03-14
75,1,3.63,1478.57,2970.81,842.88,180.38,168.53,2024-03-15
76,1,1.5,1255.99,3014.89,708.12,142.97,211.96,2024-03-16
77,1,4.67,1383.9,2953.19,782.87,150.55,210.89000000000001,2024-03-17
78,1,1.28,1414.77,2893.4900000000002,790.78,146.51,216.87,2024-03-18
79,1,4.09,1485.16,2995.41,803.05,126.87,274.67,2024-03-19
80,1,6.62,1425.51,2695.14,830.95,148.78,197.59,2024-03-20
81,1,8.76,1544.3,3301.3,642.89,180.23,188.35,2024-03-21
82,1,9.61,1643.41,3036.32,605.99,159.72,209.18,2024-03-22
83,1,5.55,1306.46,2464.36,831.71,134.13,192.01,2024-03-23
84,1,0.43,1553.86,3507.95,727.54,177.27,224.42,2024-03-24
