expense_id,restaurant_id,bills,vendors,wage_advance,repairs,sundries,amount,exp_date
1,1,436,70,376,342,67,1744,2024-01-01
2,1,513,77,652,469,12,1892,2024-01-02
3,1,271,88,806,837,75,2322,2024-01-03
4,1,981,166,84,649,56,2403,2024-01-04
5,1,856,1,178,298,66,1410,2024-01-05
6,1,298,169,610,671,95,2564,2024-01-06
7,1,147,175,451,980,17,2361,2024-01-07
8,1,580,48,7,523,41,1382,2024-01-08
9,1,120,77,347,924,80,1701,2024-01-09
10,1,84,161,471,820,48,2033,2024-01-10
11,1,362,75,666,981,16,2568,2024-01-11
12,1,699,43,295,39,95,2002,2024-01-12
13,1,251,56,924,653,90,2573,2024-01-13
14,1,595,113,162,133,17,1143,2024-01-14
15,1,245,181,595,600,34,1852,2024-01-15
16,1,779,175,599,778,48,3374,2024-01-16
17,1,55,90,139,226,90,1315,2024-01-17
18,1,225,147,257,52,3,1185,2024-01-18
19,1,813,22,924,900,84,3067,2024-01-19
20,1,485,143,81,198,10,1175,2024-01-20
21,1,706,57,93,774,4,1693,2024-01-21
22,1,274,90,448,940,32,2201,2024-01-22
23,1,554,124,280,527,6,2075,2024-01-23
24,1,921,71,717,764,62,3476,2024-01-24
25,1,948,116,732,185,6,2782,2024-01-25
26,1,681,137,420,896,32,2855,2024-01-26
27,1,975,0,951,861,31,2896,2024-01-27
28,1,199,112,663,12,88,1654,2024-01-28
29,1,443,77,845,544,52,2613,2024-01-29
30,1,498,40,850,705,59,2973,2024-01-30
31,1,749,69,323,1783,34,3046,2024-01-31
32,1,576,125,979,254,72,2135,2024-02-01
33,1,740,9,921,906,6,3114,2024-02-02
34,1,197,95,661,102,54,1170,2024-02-03
35,1,161,105,824,362,81,1546,2024-02-04
36,1,333,89,894,398,50,2167,2024-02-05
37,1,339,96,817,984,70,2661,2024-02-06
38,1,683,17,57,726,90,1876,2024-02-07
39,1,387,106,198,138,30,1580,2024-02-08
40,1,503,183,438,399,24,1938,2024-02-09
41,1,348,7,223,42,61,1431,2024-02-10
42,1,240,75,230,861,87,2458,2024-02-11
43,1,958,9,559,510,37,2778,2024-02-12
44,1,148,25,460,915,45,2550,2024-02-13
45,1,411,180,610,635,20,2578,2024-02-14
46,1,843,3,615,693,76,2706,2024-02-15
47,1,489,111,888,497,63,2841,2024-02-16
48,1,816,145,614,655,25,2671,2024-02-17
49,1,957,107,309,676,26,2557,2024-02-18
50,1,144,111,582,605,99,1935,2024-02-19
51,1,526,127,367,76,85,1857,2024-02-20
52,1,645,16,719,209,9,2432,2024-02-21
53,1,708,99,594,649,84,2531,2024-02-22
54,1,301,154,581,564,29,2619,2024-02-23
55,1,165,63,386,964,87,1786,2024-02-24
56,1,326,121,10,459,18,1214,2024-02-25
